,x,y,z,eta,phi,energy,trackId
0,179.50383,-23.632137,-7.8782797,-0.043500002,-0.13089974,0.20012644,462412
1,-143.63881,110.21794,-72.706795,-0.39149997,2.4870942,2.7345939,493395
2,179.50383,-23.63212,-146.42961,-0.7395,-0.13089965,0.4239099,1
3,-172.6731,54.44362,-238.06534,-1.0875,2.83616,0.71395034,493640
4,-180.88046,7.897389,-238.06534,-1.0874999,3.0979595,0.0,495225
5,-180.88045,-7.8974385,-238.06534,-1.0875,-3.0979593,0.034490734,495225
6,-152.69838,-97.27959,-265.02054,-1.1744998,-2.5743608,0.5801384,460126
7,-23.63213,179.50381,-325.17206,-1.3485001,1.701696,0.41148692,465028
8,-152.69835,97.279594,89.97778,0.4785,2.5743606,0.18314052,1383
9,-176.7611,39.187016,107.93024,0.56549996,2.9234264,0.33755097,4421
10,-180.88045,7.8973894,107.93024,0.56549996,3.0979595,0.10786802,485440
11,-97.279594,152.69835,126.70012,0.6525,2.1380284,0.0,392
12,-167.27094,69.28591,126.70012,0.6525,2.7488935,3.172689,4415
13,-179.50383,-23.632124,126.70012,0.6525,-3.010693,0.1168842,405763
14,97.27959,152.69835,146.42961,0.7395,1.0035642,1.7811825,22752
15,-167.27095,69.28588,146.42961,0.7395,2.7488937,0.052301235,4415
16,-172.67308,54.443626,167.26813,0.82649994,2.83616,0.25615788,525014
17,-176.7611,39.186993,167.26813,0.82649994,2.9234264,0.16397698,524542
18,39.187,176.7611,189.3735,0.9135,1.3526301,0.31505504,487341
19,69.285904,167.27095,212.91313,1.0005,1.1780972,0.83835447,489618
20,39.187008,176.7611,212.91313,1.0005,1.35263,1.3610926,486543
21,160.59576,83.60086,238.06534,1.0875,0.47996557,0.6189228,483868
22,-167.27094,69.285904,238.06534,1.0875,2.7488935,0.16141072,129652
23,-7.897455,-180.88045,238.06534,1.0875,-1.6144298,0.0027443764,394156
24,97.27957,152.69836,265.02057,1.1745,1.0035644,0.6373178,401279
25,-7.897398,180.88045,265.02057,1.1745,1.6144295,0.035270635,489141
26,143.63882,110.21793,293.98303,1.2615,0.6544984,0.15220317,401291
27,69.285904,167.27095,293.98303,1.2615,1.1780972,0.12133154,-99
28,-115.69138,150.77191,-58.766773,-0.30450004,2.225295,0.24824913,492677
29,168.57095,87.752495,-132.99207,-0.65250003,0.4799656,0.49219218,390452
30,160.28137,102.1105,-153.70132,-0.7395,0.567232,1.1265291,390452
31,150.77194,115.691376,-153.70132,-0.7395,0.65449846,0.06849084,-99
32,188.41801,-24.805716,-153.70132,-0.7395,-0.13089976,0.57255894,1
33,-150.77191,115.69135,-308.58228,-1.2615001,2.4870942,0.0,295699
34,-144.55998,132.46483,-352.148,-1.3485,2.3998277,0.63995904,493457
35,-155.55495,119.3615,-352.148,-1.3485,2.4870942,0.0,-99
36,-87.7525,168.57095,113.29006,0.5655,2.050762,0.6377831,392
37,-102.11051,160.28136,132.99207,0.6525,2.1380284,0.46753514,392
38,-168.57098,87.75249,132.99207,0.6524999,2.661627,0.76977736,4415
39,-175.57764,72.72664,132.99207,0.6525,2.7488935,5.1918387,4415
40,-189.86299,8.289592,132.99207,0.6524999,3.0979595,0.0,4837
41,140.11504,128.39177,153.70132,0.7395,0.7417649,0.0,463023
42,115.69137,150.77193,153.70132,0.73950005,0.91629785,1.3647338,400445
43,102.11051,160.28136,153.70132,0.7395,1.0035642,0.73236966,22749
44,-140.11504,128.39177,153.70132,0.7395,2.3998277,0.30786443,1378
45,-150.77191,115.69139,153.70132,0.73950005,2.4870942,1.1096224,1378
46,115.69136,150.77194,175.57469,0.82650006,0.916298,0.6309859,400445
47,-185.53906,41.133053,175.57469,0.82650006,2.9234264,0.2772858,524542
48,-188.41801,24.805664,175.57469,0.82650006,3.010693,0.70690304,522816
49,150.77191,115.69141,198.77782,0.9135,0.6544987,0.32477084,54
50,115.69137,150.77194,198.77782,0.9135,0.9162979,0.09020524,10909
51,57.1473,181.24805,198.77782,0.9135,1.2653637,0.113540195,486856
52,41.13303,185.53906,198.77782,0.9135,1.3526301,0.46018746,486856
53,-8.289614,189.86299,198.77782,0.91349995,1.6144296,0.03394457,-99
54,72.72665,175.57764,223.48642,1.0005,1.1780972,0.045915533,-99
55,57.147263,181.24806,223.48642,1.0005001,1.2653639,0.19434406,486468
56,102.11049,160.28137,249.88768,1.0874999,1.0035644,0.50304,23008
57,-181.24805,57.147297,249.88768,1.0875,2.83616,0.44622248,45
58,-175.57764,-72.72664,308.58228,1.2615,-2.7488935,0.18418883,413898
59,-25.592651,194.3953,352.148,1.3485,1.7016962,0.20135702,-99
60,98.88778,-189.9616,-9.318868,-0.043500002,-1.0908307,0.0,473293
61,212.32712,-27.953407,-173.20508,-0.7395,-0.13089974,0.39172578,1
62,-27.9534,212.32713,-384.63162,-1.3485,1.701696,0.59545213,493690
63,-157.89478,144.68391,-384.63162,-1.3485001,2.3998277,0.2990219,493457
64,81.95528,-197.85735,9.318867,0.0435,-1.1780969,0.39817563,473293
65,-169.90399,130.3719,86.00164,0.39149997,2.4870944,0.08618446,-99
66,46.352585,209.08286,127.665886,0.56549996,1.35263,0.0895229,-99
67,9.341497,213.95544,127.665886,0.5655,1.527163,1.801742,20925
68,-204.24734,64.39893,127.665886,0.56549996,2.8361602,0.1555511,522477
69,27.953398,212.32712,149.86795,0.6525,1.4398966,0.6829885,20925
70,-115.067726,180.62009,149.86795,0.6525,2.1380286,0.021814816,-99
71,238.95346,-52.974697,-197.95004,-0.73950005,-0.21816611,1.8782262,1
72,-226.12425,93.663765,121.63595,0.4785,2.7488935,0.22807518,15992
73,233.42712,73.59927,321.82724,1.0875,0.30543256,0.027437633,448489
74,-73.59933,-233.42711,397.41928,1.2615001,-1.876229,0.5235124,141037
75,21.311481,161.87674,-391.883,-1.6095,1.4398966,5.067475,483416
76,68.65274,131.8807,-391.883,-1.6965001,1.0908308,0.6360035,495032
77,19.406633,147.408,-391.883,-1.6964997,1.4398966,0.027527606,-99
78,-79.8857,125.3954,-391.883,-1.6964998,2.1380284,0.0,-99
79,-125.39542,79.88569,-391.883,-1.6964997,2.5743606,0.21390255,493903
80,-148.53845,6.48532,-391.883,-1.6964998,3.0979595,0.031304244,-99
81,70.23214,100.30188,-391.883,-1.8799996,0.9599311,0.039588533,496138
82,-31.691324,-118.27373,-391.883,-1.8799998,-1.8325955,0.26231205,526837
83,-99.308426,-46.308277,-391.883,-1.9864999,-2.7052603,0.4180543,527462
84,28.36001,-105.841,-391.883,-1.9865005,-1.3089969,0.023037946,-99
85,96.32045,8.426945,-391.883,-2.1074998,0.08726644,0.11759276,526155
86,-40.86226,87.62937,-391.883,-2.1075003,2.0071287,0.06539292,-99
87,-8.426946,-96.320404,-391.883,-2.1075003,-1.6580628,1.093759,497211
88,83.474106,7.303031,-391.883,-2.2470002,0.08726638,0.18206465,471348
89,-80.93778,-21.687214,-391.883,-2.2470002,-2.8797932,1.9488693,295531
90,-75.94227,-35.412453,-391.883,-2.2469995,-2.7052605,0.40354252,527435
91,-48.06169,-68.63924,-391.883,-2.2469995,-2.1816614,0.06407927,-99
92,-7.303036,-83.47415,-391.883,-2.2469997,-1.6580627,0.13250937,-99
93,75.94226,-35.412476,-391.883,-2.2469995,-0.4363325,0.045178372,-99
94,-40.663445,58.073414,-391.883,-2.4110003,2.1816616,0.29896292,411579
95,-50.13002,-50.130016,-391.883,-2.4110003,-2.3561945,0.25548083,371242
96,-18.348871,-68.47892,-391.883,-2.4109995,-1.8325957,0.45927814,497209
97,29.961348,-64.25233,-391.883,-2.4109995,-1.134464,0.038345236,-99
98,-15.538186,57.989307,-391.883,-2.5749998,1.8325957,0.4230965,411560
99,-57.989326,15.538203,-391.883,-2.5749996,2.8797932,0.49171805,263460
100,-34.43464,-49.17777,-391.883,-2.5749996,-2.1816616,0.2852344,386529
101,-25.371864,-54.410152,-391.883,-2.5749998,-2.0071285,0.4334233,321498
102,5.2323885,-59.806477,-391.883,-2.5750003,-1.4835298,0.3724965,332361
103,35.253292,35.25329,-391.883,-2.759,0.7853981,0.0,-99
104,4.3452125,49.665985,-391.883,-2.7589996,1.4835298,0.20518692,478215
105,-28.596039,40.839375,-391.883,-2.7590003,2.1816616,0.21647614,411872
106,-35.253284,-35.25328,-391.883,-2.7590003,-2.3561945,0.45830256,387826
107,-12.90359,-48.156895,-391.883,-2.759,-1.8325955,0.16628328,335700
108,-4.3452106,-49.66597,-391.883,-2.7589998,-1.6580628,2.1181664,336290
109,4.3452044,-49.66597,-391.883,-2.7589998,-1.4835299,0.76819074,336200
110,45.184624,-21.069948,-391.883,-2.758999,-0.43633255,0.5289303,388317
111,48.15693,-12.903595,-391.883,-2.7589993,-0.2617991,4.847592,526153
112,-34.24215,23.976612,-391.883,-2.9340003,2.5307274,0.19054835,-99
113,-17.666271,-37.885445,-391.883,-2.9339998,-2.0071287,0.33382717,335520
114,-10.819141,-40.377586,-391.883,-2.934,-1.8325957,0.3948202,332120
115,-3.6432738,-41.642845,-391.883,-2.934001,-1.6580627,2.0823696,336472
116,3.6432838,-41.642902,-391.883,-2.9339995,-1.4835298,1.16394,335925
117,37.885456,-17.666283,-391.883,-2.9339995,-0.4363324,0.38033402,526152
118,40.377563,-10.819125,-391.883,-2.9340007,-0.26179913,0.17522344,413054
119,41.64284,-3.6432683,-391.883,-2.934001,-0.08726627,0.35676533,411874
120,-161.87677,21.311451,391.883,1.6094999,3.010693,0.03179769,-99
121,-49.09732,-155.71678,391.883,1.6094999,-1.8762289,3.3767903,404444
122,150.84512,-62.482094,391.883,1.6094999,-0.39269906,0.0856594,-99
123,-141.79858,44.708923,391.883,1.6965,2.83616,0.16101213,474807
124,-148.53844,6.4853177,391.883,1.6965,3.0979595,0.73044825,392227
125,109.61836,-100.4467,391.883,1.6965,-0.74176484,0.1183748,-99
126,130.71274,35.024364,391.883,1.785,0.26179934,0.43986192,448451
127,-134.80884,-11.794246,391.883,1.7850001,-3.0543263,0.48386043,392216
128,110.85074,-77.61857,391.883,1.785,-0.61086553,0.17834893,455042
129,122.645,-57.19033,391.883,1.785,-0.43633252,0.88913214,419044
130,100.301834,70.23211,391.883,1.88,0.6108653,0.011454597,-99
131,100.30183,-70.232124,391.883,1.88,-0.6108654,0.34178832,455042
132,28.36003,105.84105,391.883,1.9864999,1.3089969,0.20889899,278459
133,9.550081,109.15775,391.883,1.9864999,1.4835297,0.26992714,278459
134,-46.308296,99.3084,391.883,1.9865,2.0071287,0.01457517,-99
135,93.393776,25.024796,391.883,2.1075,0.26179948,0.017265532,-99
136,68.36898,68.369,391.883,2.1074998,0.78539836,0.041582152,-99
137,40.862267,87.62941,391.883,2.1074998,1.134464,0.15135434,160
138,-40.862286,87.629395,391.883,2.1075,2.0071287,0.27305022,393739
139,-55.458168,79.20246,391.883,2.1074998,2.1816616,1.2359843,393828
140,-96.32043,8.426939,391.883,2.1074998,3.0543263,0.19603619,164448
141,-93.393776,-25.02479,391.883,2.1075,-2.8797932,0.3072295,490855
142,-8.426937,-96.32043,391.883,2.1074998,-1.6580627,0.27746418,447030
143,79.20245,-55.458176,391.883,2.1075,-0.61086535,0.9965575,507148
144,93.39378,-25.024763,391.883,2.1075,-0.26179913,0.12184823,-99
145,83.47413,7.3030367,391.883,2.247,0.08726642,0.39448467,499435
146,-83.47413,7.303029,391.883,2.247,3.0543263,0.22448437,164448
147,-80.937805,-21.68723,391.883,2.247,-2.8797932,0.5494983,490855
148,-75.94223,-35.41245,391.883,2.247,-2.7052603,1.02042,500321
149,68.63918,-48.061695,391.883,2.247,-0.6108654,0.34391773,415229
150,75.94222,-35.412464,391.883,2.247,-0.43633255,1.8131361,499813
151,80.93781,-21.687202,391.883,2.247,-0.26179916,2.9976103,447714
152,83.47413,-7.3030214,391.883,2.247,-0.087266244,1.2856886,441017
153,70.62479,6.1788616,391.883,2.411,0.08726637,1.7451013,504420
154,68.47889,18.348864,391.883,2.411,0.2617994,1.5271891,423541
155,64.2523,29.961338,391.883,2.411,0.43633232,0.04148924,418132
156,58.073425,40.663452,391.883,2.411,0.61086524,0.12928468,506967
157,-58.073425,40.663452,391.883,2.411,2.5307274,0.22981521,509080
158,-64.2523,-29.961332,391.883,2.411,-2.7052603,1.9710877,490855
159,58.07342,-40.663456,391.883,2.411,-0.61086535,0.47185704,447208
160,64.25229,-29.96135,391.883,2.411,-0.43633252,2.9692314,499813
161,68.47889,-18.34884,391.883,2.411,-0.2617991,1.9700836,503849
162,70.62479,-6.1788573,391.883,2.411,-0.08726631,2.2540247,506061
163,59.806488,5.2323895,391.883,2.575,0.08726646,4.602104,505974
164,57.989296,15.538188,391.883,2.575,0.26179945,1.5439417,507296
165,54.410133,25.371864,391.883,2.575,0.43633235,0.5205852,418132
166,-34.43462,49.177746,391.883,2.575,2.1816616,0.14908955,476361
167,-49.177742,34.434628,391.883,2.575,2.5307274,0.37545604,513100
168,-59.806488,-5.232395,391.883,2.575,-3.054326,0.03168239,-99
169,-54.410133,-25.371864,391.883,2.575,-2.7052603,0.2470565,420072
170,25.371857,-54.410133,391.883,2.575,-1.1344641,0.35528085,160401
171,49.17774,-34.434635,391.883,2.575,-0.61086535,1.1128097,78741
172,54.410126,-25.37187,391.883,2.575,-0.4363325,3.1633844,504310
173,57.9893,-15.538175,391.883,2.575,-0.2617992,8.32267,506789
174,59.806488,-5.232375,391.883,2.575,-0.08726622,0.61741686,503919
175,49.665962,4.3452034,391.883,2.759,0.087266356,1.494439,507258
176,48.156887,12.903603,391.883,2.759,0.26179945,0.15741085,503793
177,45.18459,21.06992,391.883,2.759,0.4363323,0.9779815,502878
178,40.839382,28.59604,391.883,2.759,0.61086524,1.3842897,512032
179,35.25329,35.25329,391.883,2.759,0.7853982,0.6674751,502830
180,21.069918,45.18459,391.883,2.759,1.134464,1.2189164,431278
181,-12.9036,48.156887,391.883,2.759,1.8325957,0.30974245,409182
182,-21.069925,45.18459,391.883,2.759,2.0071287,0.39871287,476415
183,-40.83938,28.596045,391.883,2.759,2.5307274,0.18060125,473819
184,-49.665962,4.3452034,391.883,2.759,3.0543263,0.82387054,518339
185,-48.156887,-12.903598,391.883,2.759,-2.8797932,0.20500937,518339
186,-40.839386,-28.596037,391.883,2.759,-2.5307276,0.24015458,463340
187,-35.25329,-35.25329,391.883,2.759,-2.3561945,0.07856005,-99
188,28.59604,-40.839386,391.883,2.759,-0.9599312,0.24120359,433737
189,40.839375,-28.596048,391.883,2.759,-0.61086535,4.5981627,88709
190,45.184586,-21.069927,391.883,2.759,-0.43633246,2.939809,440691
191,48.15689,-12.903591,391.883,2.759,-0.26179922,2.4989898,517900
192,49.665962,-4.3452034,391.883,2.759,-0.087266356,2.1621842,503212
193,40.377586,10.819139,391.883,2.934,0.2617993,0.1841052,90023
194,34.242153,23.976614,391.883,2.934,0.61086524,1.0534822,433612
195,29.55844,29.558449,391.883,2.934,0.78539836,1.5519527,433612
196,-17.666273,37.885433,391.883,2.934,2.0071287,0.516965,473881
197,-34.242157,23.976612,391.883,2.934,2.5307274,0.31126776,476739
198,-41.642883,3.6432767,391.883,2.934,3.0543263,0.17161663,490883
199,29.55844,-29.558449,391.883,2.934,-0.78539836,0.24175577,389165
200,37.88543,-17.666277,391.883,2.934,-0.43633255,4.067425,499291
201,41.642883,-3.6432729,391.883,2.934,-0.08726629,0.3591359,95798
202,25.809408,196.0419,-391.88297,-1.4354998,1.4398966,0.1197812,-99
203,-106.24215,166.76675,-391.883,-1.4354999,2.1380284,0.25730482,493457
204,-120.37254,156.87253,-391.883,-1.4355,2.2252948,0.6586762,493457
205,-188.58176,59.45962,-391.88303,-1.4355003,2.83616,0.17597586,-99
